"id";"category";"subcategory";"count";"WardrobeId"
1;"tops";"Fitted Tees";0;5
2;"tops";"Loose-Fitted T-shirts";0;5
3;"tops";"Long-Sleeve Tees";0;5
4;"tops";"Yoga Pants";0;5
5;"tops";"Other Athleisure";0;5
6;"tops";"Sweatshirts";0;5
7;"tops";"Sweatpants";0;5
8;"tops";"Tank Tops";0;5
9;"tops";"Button-Downs";0;5
10;"tops";"Sweaters";0;5
11;"tops";"Cardigans";0;5
12;"tops";"Polo";0;5
13;"tops";"Blouses";0;5
14;"tops";"Tunic-Length";0;5
15;"tops";"Jackets";0;5
16;"bottoms";"Denim Jeans";0;5
17;"bottoms";"Alternative Jeans";0;5
18;"bottoms";"Khakis";0;5
19;"bottoms";"Trousers";0;5
20;"bottoms";"Slacks";0;5
21;"bottoms";"Skirts";0;5
22;"bottoms";"Dresses";0;5
23;"bottoms";"Camisoles";0;5
24;"bottoms";"Short-Shorts";0;5
25;"bottoms";"Bermuda-Shorts";0;5
26;"shoes";"Sneakers";0;5
27;"shoes";"Sandals";0;5
28;"shoes";"Boots";0;5
29;"shoes";"Dress-Shoes";0;5
30;"shoes";"Casual Loafer";0;5
31;"shoes";"Formal Sandals";0;5
32;"shoes";"Heels";0;5
33;"shoes";"Flats";0;5
34;"tops";"Fitted Tees";0;6
35;"tops";"Loose-Fitted T-shirts";0;6
36;"tops";"Long-Sleeve Tees";0;6
37;"tops";"Yoga Pants";0;6
38;"tops";"Other Athleisure";0;6
39;"tops";"Sweatshirts";0;6
40;"tops";"Sweatpants";0;6
41;"tops";"Tank Tops";0;6
42;"tops";"Button-Downs";0;6
43;"tops";"Sweaters";0;6
44;"tops";"Cardigans";0;6
45;"tops";"Polo";0;6
46;"tops";"Blouses";0;6
47;"tops";"Tunic-Length";0;6
48;"tops";"Jackets";0;6
49;"bottoms";"Denim Jeans";0;6
50;"bottoms";"Alternative Jeans";0;6
51;"bottoms";"Khakis";0;6
52;"bottoms";"Trousers";0;6
53;"bottoms";"Slacks";0;6
54;"bottoms";"Skirts";0;6
55;"bottoms";"Dresses";0;6
56;"bottoms";"Camisoles";0;6
57;"bottoms";"Short-Shorts";0;6
58;"bottoms";"Bermuda-Shorts";0;6
59;"shoes";"Sneakers";0;6
60;"shoes";"Sandals";0;6
61;"shoes";"Boots";0;6
62;"shoes";"Dress-Shoes";0;6
63;"shoes";"Casual Loafer";0;6
64;"shoes";"Formal Sandals";0;6
65;"shoes";"Heels";0;6
66;"shoes";"Flats";0;6
67;"tops";"Fitted Tees";0;7
68;"tops";"Loose-Fitted T-shirts";0;7
69;"tops";"Long-Sleeve Tees";0;7
70;"tops";"Yoga Pants";0;7
71;"tops";"Other Athleisure";0;7
72;"tops";"Sweatshirts";0;7
73;"tops";"Sweatpants";0;7
74;"tops";"Tank Tops";0;7
75;"tops";"Button-Downs";0;7
76;"tops";"Sweaters";0;7
77;"tops";"Cardigans";0;7
